Sector,Average_Yearly_Return,Number_of_Stocks
RETAILING,113.30539932556509,2
DEFENCE,101.7600574712644,1
TELECOM,69.599048957095,1
POWER,60.18409528819611,2
AUTOMOBILES,54.526537075105274,6
MINING,41.846522781774596,1
SOFTWARE,38.27595416662726,5
CEMENT,36.970944863875545,1
ENERGY,36.564787601839285,3
ALUMINIUM,35.86831961662674,1
TEXTILES,35.781988044977645,1
PHARMACEUTICALS,31.37917300152913,3
MISCELLANEOUS,21.845102392915948,3
STEEL,19.21712461457319,2
ENGINEERING,17.253721630196047,1
INSURANCE,11.767832027533359,2
FINANCE,11.576063201001446,3
BANKING,11.380534233917365,6
FMCG,5.548691662439051,3
FOOD & TOBACCO,4.321734389748768,2
PAINTS,-21.93504586576567,1
